"atlas_block","sr_total","sr_Atlas1","sr_Atlas2","sr_diff","sr_diff_z"
"4208758CE",82,65,73,8,-0.748528949534427
"4208851CE",88,73,81,8,-0.748528949534427
"4208852CE",104,85,87,2,-0.925938942761816
"4208853CE",84,70,74,4,-0.866802278352687
"4208854CE",90,71,83,12,-0.630255620716167
"4208855CE",115,99,95,-4,-1.10334893598921
"4208857CE",77,52,73,21,-0.364140630875083
"4208862SE",150,97,144,47,0.404636006443604
"4208863CE",125,76,116,40,0.19765768101165
"4208867CE",54,37,46,9,-0.718960617329862
"4208872CE",90,60,80,20,-0.393708963079648
"4208873CE",92,46,85,39,0.168089348807085
"4208874NW",126,92,120,28,-0.157162305443129
"4208882CE",85,66,76,10,-0.689392285125297
"4208884CE",107,73,99,26,-0.216298969852259
"4208885CE",108,79,92,13,-0.600687288511602
"4208887CE",105,82,91,9,-0.718960617329862
"4208888CE",107,72,97,25,-0.245867302056824
"4208888SE",120,81,114,33,-0.0093206444203047
"4208958CE",85,62,79,17,-0.482413959693343
"4208961CE",113,63,106,43,0.286362677625344
"4208964CE",100,83,94,11,-0.659823952920732
"4208965CE",97,75,81,6,-0.807665613943557
"4208966CE",83,60,72,12,-0.630255620716167
"4208967CE",91,84,79,-5,-1.13291726819377
"4208971CE",106,62,92,30,-0.0980256410339994
"4208972CE",101,63,94,31,-0.0684573088294345
"4208974NW",121,105,111,6,-0.807665613943557
"4208975CE",94,74,84,10,-0.689392285125297
"4208976CE",96,81,88,7,-0.778097281738992
"4208977CE",96,84,88,4,-0.866802278352687
"4208978CE",93,80,85,5,-0.837233946148122
"4208981CE",117,74,110,36,0.07938435219339
"4208983CE",110,83,95,12,-0.630255620716167
"4208985CE",107,75,99,24,-0.275435634261389
"4208986CE",99,69,91,22,-0.334572298670519
"4208987CE",84,70,75,5,-0.837233946148122
"4208988CE",101,76,97,21,-0.364140630875083
"4208988NE",82,65,77,12,-0.630255620716167
"4209051CE",83,73,72,-1,-1.01464393937551
"4209053CE",76,59,68,9,-0.718960617329862
"4209054CE",68,58,65,7,-0.778097281738992
"4209055CE",64,54,56,2,-0.925938942761816
"4209062CE",81,57,74,17,-0.482413959693343
"4209064CE",65,55,56,1,-0.955507274966381
"4209066CE",82,62,77,15,-0.541550624102473
"4209067CE",98,75,88,13,-0.600687288511602
"4209068CE",101,83,92,9,-0.718960617329862
"4209072CE",87,71,79,8,-0.748528949534427
"4209073CE",83,61,75,14,-0.571118956307038
"4209074CE",74,56,66,10,-0.689392285125297
"4209075CE",76,56,70,14,-0.571118956307038
"4209077CE",76,66,69,3,-0.896370610557251
"4209078CE",80,62,73,11,-0.659823952920732
"4209082CE",81,61,75,14,-0.571118956307038
"4209085CE",82,63,75,12,-0.630255620716167
"4209086CE",75,55,63,8,-0.748528949534427
"4209087CE",83,64,71,7,-0.778097281738992
"4209088CE",68,55,61,6,-0.807665613943557
"4209181CE",81,67,73,6,-0.807665613943557
"4209181NW",153,92,147,55,0.641182664080123
"4209182CE",94,78,84,6,-0.807665613943557
"4308718CE",172,65,171,106,2.14916760651293
"4308728CE",161,82,157,75,1.23254930817142
"4308738CE",113,76,105,29,-0.127593973238564
"4308748CE",141,87,125,38,0.13852101660252
"4308758CE",101,65,93,28,-0.157162305443129
"4308767CE",82,61,73,12,-0.630255620716167
"4308768CE",77,57,68,11,-0.659823952920732
"4308777CE",92,62,83,21,-0.364140630875083
"4308787CE",107,67,102,35,0.0498160199888251
"4308788CE",135,97,117,20,-0.393708963079648
"4308811CE",121,57,114,57,0.700319328489253
"4308812CE",75,58,65,7,-0.778097281738992
"4308813CE",86,69,70,1,-0.955507274966381
"4308815CE",104,74,95,21,-0.364140630875083
"4308816CE",86,70,76,6,-0.807665613943557
"4308817CE",116,70,112,42,0.256794345420779
"4308818CE",160,89,157,68,1.02557098273947
"4308822CE",90,72,77,5,-0.837233946148122
"4308823CE",80,68,69,1,-0.955507274966381
"4308824CE",95,78,74,-4,-1.10334893598921
"4308825CE",109,71,103,32,-0.0388889766248696
"4308828CE",101,69,93,24,-0.275435634261389
"4308828CW",92,71,81,10,-0.689392285125297
"4308832CE",77,59,70,11,-0.659823952920732
"4308832NE",104,79,90,11,-0.659823952920732
"4308833CE",113,100,93,-7,-1.1920539326029
"4308834CE",87,73,74,1,-0.955507274966381
"4308837CE",92,68,83,15,-0.541550624102473
"4308841CE",150,90,144,54,0.611614331875558
"4308841SE",173,108,167,59,0.759455992898383
"4308842CE",112,86,100,14,-0.571118956307038
"4308843CE",107,81,93,12,-0.630255620716167
"4308844CE",95,67,88,21,-0.364140630875083
"4308846CE",113,75,109,34,0.0202476877842602
"4308847CE",126,71,121,50,0.493341003057298
"4308852CE",131,114,110,-4,-1.10334893598921
"4308852NE",157,110,149,39,0.168089348807085
"4308853CE",88,64,77,13,-0.600687288511602
"4308854CE",98,85,84,-1,-1.01464393937551
"4308861CE",112,84,107,23,-0.305003966465954
"4308862CE",140,108,127,19,-0.423277295284213
"4308863CE",86,64,76,12,-0.630255620716167
"4308868CE",80,59,73,14,-0.571118956307038
"4308871CE",118,99,87,-12,-1.33989559362572
"4308872CE",108,81,98,17,-0.482413959693343
"4308875CE",100,67,92,25,-0.245867302056824
"4308878CE",111,74,101,27,-0.186730637647694
"4308881CE",116,80,100,20,-0.393708963079648
"4308882CE",113,64,104,40,0.19765768101165
"4308883CE",96,71,85,14,-0.571118956307038
"4308885CE",84,62,73,11,-0.659823952920732
"4308887CE",119,105,95,-10,-1.2807589292166
"4308887SE",104,68,98,30,-0.0980256410339994
"4308888CE",106,70,95,25,-0.245867302056824
"4308913CE",110,73,102,29,-0.127593973238564
"4308914CE",158,77,152,75,1.23254930817142
"4308915CE",86,60,76,16,-0.511982291897908
"4308916CE",104,76,102,26,-0.216298969852259
"4308917CE",94,68,84,16,-0.511982291897908
"4308918CE",124,81,119,38,0.13852101660252
"4308923CE",124,69,119,50,0.493341003057298
"4308925CE",106,60,94,34,0.0202476877842602
"4308926CE",111,87,92,5,-0.837233946148122
"4308927CE",108,74,103,29,-0.127593973238564
"4308928CE",156,94,150,56,0.670750996284688
"4308931CE",83,68,73,5,-0.837233946148122
"4308932CE",93,74,78,4,-0.866802278352687
"4308933CE",116,78,105,27,-0.186730637647694
"4308935CE",107,69,99,30,-0.0980256410339994
"4308936CE",110,75,101,26,-0.216298969852259
"4308936NW",114,85,109,24,-0.275435634261389
"4308938CE",95,82,87,5,-0.837233946148122
"4308938NE",126,98,118,20,-0.393708963079648
"4308938NW",140,115,130,15,-0.541550624102473
"4308941CE",104,69,83,14,-0.571118956307038
"4308942CE",124,112,107,-5,-1.13291726819377
"4308943CE",130,79,125,46,0.375067674239039
"4308944CE",121,96,108,12,-0.630255620716167
"4308946CE",116,91,103,12,-0.630255620716167
"4308946SW",151,120,137,17,-0.482413959693343
"4308947CE",108,67,96,29,-0.127593973238564
"4308947SE",143,100,138,38,0.13852101660252
"4308948CE",91,69,86,17,-0.482413959693343
"4308951CE",84,61,74,13,-0.600687288511602
"4308952CE",95,77,86,9,-0.718960617329862
"4308953CE",93,77,84,7,-0.778097281738992
"4308954CE",119,89,108,19,-0.423277295284213
"4308955CE",117,93,105,12,-0.630255620716167
"4308956CE",124,86,120,34,0.0202476877842602
"4308958CE",110,88,92,4,-0.866802278352687
"4308961CE",71,60,55,-5,-1.13291726819377
"4308962CE",116,74,110,36,0.07938435219339
"4308962NW",145,110,126,16,-0.511982291897908
"4308963CE",111,72,108,36,0.07938435219339
"4308964CE",106,89,98,9,-0.718960617329862
"4308965CE",102,86,81,-5,-1.13291726819377
"4308966CE",101,78,89,11,-0.659823952920732
"4308967CE",110,84,99,15,-0.541550624102473
"4308971CE",123,68,117,49,0.463772670852734
"4308972CE",122,99,109,10,-0.689392285125297
"4308973CE",111,87,100,13,-0.600687288511602
"4308974CE",89,80,71,-9,-1.25119059701203
"4308975CE",105,78,94,16,-0.511982291897908
"4308976CE",106,88,89,1,-0.955507274966381
"4308978CE",110,95,82,-13,-1.36946392583029
"4308981CE",134,93,126,33,-0.0093206444203047
"4308981CW",136,91,129,38,0.13852101660252
"4308982CE",121,88,109,21,-0.364140630875083
"4308983CE",108,92,89,-3,-1.07378060378464
"4308983SE",135,112,118,6,-0.807665613943557
"4308984CE",94,78,77,-1,-1.01464393937551
"4308985CE",98,73,92,19,-0.423277295284213
"4308986CE",88,70,77,7,-0.778097281738992
"4309011SW",158,87,151,64,0.907297653921207
"4309012CE",90,67,87,20,-0.393708963079648
"4309013CE",85,71,82,11,-0.659823952920732
"4309014CE",82,61,77,16,-0.511982291897908
"4309015CE",95,70,92,22,-0.334572298670519
"4309016CE",77,64,71,7,-0.778097281738992
"4309017CE",91,76,82,6,-0.807665613943557
"4309017NW",104,91,86,-5,-1.13291726819377
"4309018CE",112,90,103,13,-0.600687288511602
"4309021CE",132,93,124,31,-0.0684573088294345
"4309022CE",154,84,150,66,0.966434318330337
"4309023CE",115,83,110,27,-0.186730637647694
"4309024CE",130,95,124,29,-0.127593973238564
"4309025CE",128,78,122,44,0.315931009829909
"4309026CE",108,86,100,14,-0.571118956307038
"4309027CE",90,71,80,9,-0.718960617329862
"4309028CE",104,90,93,3,-0.896370610557251
"4309031CE",97,81,90,9,-0.718960617329862
"4309032CE",98,78,95,17,-0.482413959693343
"4309033CE",94,82,82,0,-0.985075607170946
"4309034CE",93,59,86,27,-0.186730637647694
"4309035CE",97,78,87,9,-0.718960617329862
"4309036CE",92,76,84,8,-0.748528949534427
"4309037CE",82,72,76,4,-0.866802278352687
"4309038CE",81,54,72,18,-0.452845627488778
"4309041CE",82,68,71,3,-0.896370610557251
"4309042CE",87,77,76,-1,-1.01464393937551
"4309044CE",97,73,90,17,-0.482413959693343
"4309045CE",94,80,81,1,-0.955507274966381
"4309046CE",83,67,76,9,-0.718960617329862
"4309047CE",93,71,81,10,-0.689392285125297
"4309051CE",94,83,86,3,-0.896370610557251
"4309052CE",104,86,94,8,-0.748528949534427
"4309053CE",87,74,81,7,-0.778097281738992
"4309055CE",104,74,99,25,-0.245867302056824
"4309056CE",108,78,102,24,-0.275435634261389
"4309057CE",91,68,88,20,-0.393708963079648
"4309058CE",89,68,77,9,-0.718960617329862
"4309061CE",116,100,102,2,-0.925938942761816
"4309062CE",101,89,78,-11,-1.31032726142116
"4309063CE",92,75,82,7,-0.778097281738992
"4309065CE",85,69,80,11,-0.659823952920732
"4309065SW",109,94,98,4,-0.866802278352687
"4309066CE",76,70,65,-5,-1.13291726819377
"4309067CE",100,75,88,13,-0.600687288511602
"4309068CE",91,79,74,-5,-1.13291726819377
"4309071CE",104,85,87,2,-0.925938942761816
"4309072CE",94,73,88,15,-0.541550624102473
"4309073CE",88,63,82,19,-0.423277295284213
"4309074CE",105,82,96,14,-0.571118956307038
"4309075CE",99,81,91,10,-0.689392285125297
"4309076CE",90,74,83,9,-0.718960617329862
"4309077CE",121,87,115,28,-0.157162305443129
"4309078CE",85,77,70,-7,-1.1920539326029
"4309081CE",101,72,90,18,-0.452845627488778
"4309083CE",111,86,101,15,-0.541550624102473
"4309085CE",91,81,81,0,-0.985075607170946
"4309086CE",109,96,89,-7,-1.1920539326029
"4309086NE",117,97,102,5,-0.837233946148122
"4309087CE",124,79,108,29,-0.127593973238564
"4309088CE",89,72,80,8,-0.748528949534427
"4309111CE",98,90,87,-3,-1.07378060378464
"4309112CE",118,85,102,17,-0.482413959693343
"4309131CE",96,73,87,14,-0.571118956307038
"4309141CE",84,60,81,21,-0.364140630875083
"4309142CE",91,69,84,15,-0.541550624102473
"4309151CE",85,73,69,-4,-1.10334893598921
"4309152CE",92,79,83,4,-0.866802278352687
"4309161CE",95,71,92,21,-0.364140630875083
"4309162CE",89,72,85,13,-0.600687288511602
"4309171CE",90,71,86,15,-0.541550624102473
"4309171NE",116,68,111,43,0.286362677625344
"4309181CE",89,73,78,5,-0.837233946148122
"4309182CE",79,68,69,1,-0.955507274966381
"4309183NW",150,115,131,16,-0.511982291897908
"4408717CE",103,72,88,16,-0.511982291897908
"4408725CE",134,107,114,7,-0.778097281738992
"4408727CE",135,102,118,16,-0.511982291897908
"4408728CE",91,74,76,2,-0.925938942761816
"4408736CE",110,96,93,-3,-1.07378060378464
"4408737CE",95,78,84,6,-0.807665613943557
"4408738CE",100,82,91,9,-0.718960617329862
"4408746CE",105,85,88,3,-0.896370610557251
"4408747CE",98,74,85,11,-0.659823952920732
"4408755CE",120,78,107,29,-0.127593973238564
"4408756CE",108,82,99,17,-0.482413959693343
"4408757CE",80,63,67,4,-0.866802278352687
"4408764CE",122,89,115,26,-0.216298969852259
"4408765CE",136,78,125,47,0.404636006443604
"4408766CE",112,97,94,-3,-1.07378060378464
"4408773CE",130,97,116,19,-0.423277295284213
"4408774CE",141,118,126,8,-0.748528949534427
"4408775CE",150,107,134,27,-0.186730637647694
"4408783CE",135,104,117,13,-0.600687288511602
"4408786NE",174,116,164,48,0.434204338648169
"4408787SW",116,73,108,35,0.0498160199888251
"4408811CE",142,95,126,31,-0.0684573088294345
"4408812CE",88,60,77,17,-0.482413959693343
"4408813CE",95,77,83,6,-0.807665613943557
"4408815CE",111,63,97,34,0.0202476877842602
"4408816CE",124,68,112,44,0.315931009829909
"4408817CE",99,73,87,14,-0.571118956307038
"4408818CE",112,74,107,33,-0.0093206444203047
"4408821CE",100,84,85,1,-0.955507274966381
"4408822CE",105,65,100,35,0.0498160199888251
"4408825CE",125,84,101,17,-0.482413959693343
"4408826CE",90,70,75,5,-0.837233946148122
"4408827CE",110,93,91,-2,-1.04421227158008
"4408828CE",98,75,86,11,-0.659823952920732
"4408831CE",118,92,100,8,-0.748528949534427
"4408832CE",94,72,78,6,-0.807665613943557
"4408833CE",85,65,75,10,-0.689392285125297
"4408834CE",110,77,99,22,-0.334572298670519
"4408835CE",116,86,100,14,-0.571118956307038
"4408836CE",134,84,122,38,0.13852101660252
"4408837CW",107,75,89,14,-0.571118956307038
"4408837NW",108,86,93,7,-0.778097281738992
"4408838CE",94,80,81,1,-0.955507274966381
"4408841CE",95,74,86,12,-0.630255620716167
"4408842CE",87,60,83,23,-0.305003966465954
"4408843CE",88,68,79,11,-0.659823952920732
"4408844CE",110,83,95,12,-0.630255620716167
"4408845CE",111,89,99,10,-0.689392285125297
"4408846CE",115,74,108,34,0.0202476877842602
"4408848CE",89,65,71,6,-0.807665613943557
"4408852CE",111,76,98,22,-0.334572298670519
"4408853CE",95,65,84,19,-0.423277295284213
"4408854CE",108,75,92,17,-0.482413959693343
"4408856CE",117,88,104,16,-0.511982291897908
"4408857CE",99,85,85,0,-0.985075607170946
"4408858CE",106,80,97,17,-0.482413959693343
"4408863CE",78,64,68,4,-0.866802278352687
"4408865SE",134,119,114,-5,-1.13291726819377
"4408867CE",108,78,97,19,-0.423277295284213
"4408868CE",114,100,95,-5,-1.13291726819377
"4408873CE",108,81,104,23,-0.305003966465954
"4408874CE",126,78,117,39,0.168089348807085
"4408875CE",124,107,109,2,-0.925938942761816
"4408876CE",98,74,85,11,-0.659823952920732
"4408877CE",115,76,98,22,-0.334572298670519
"4408878CE",87,63,76,13,-0.600687288511602
"4408881CE",104,77,86,9,-0.718960617329862
"4408884CE",114,95,101,6,-0.807665613943557
"4408885CE",100,78,83,5,-0.837233946148122
"4408886CE",100,86,86,0,-0.985075607170946
"4408887CE",127,98,115,17,-0.482413959693343
"4408888CE",112,96,98,2,-0.925938942761816
"4408912CE",96,71,89,18,-0.452845627488778
"4408913CE",119,85,103,18,-0.452845627488778
"4408914CE",102,81,92,11,-0.659823952920732
"4408915CE",82,65,72,7,-0.778097281738992
"4408918CE",93,68,83,15,-0.541550624102473
"4408921CE",104,83,97,14,-0.571118956307038
"4408922CE",96,67,88,21,-0.364140630875083
"4408923CE",100,84,84,0,-0.985075607170946
"4408925CE",92,65,75,10,-0.689392285125297
"4408927CE",112,93,103,10,-0.689392285125297
"4408928CE",100,74,86,12,-0.630255620716167
"4408931CE",90,69,83,14,-0.571118956307038
"4408932CE",122,79,105,26,-0.216298969852259
"4408933CE",98,84,88,4,-0.866802278352687
"4408938CE",112,85,105,20,-0.393708963079648
"4408941CE",112,80,101,21,-0.364140630875083
"4408942CE",109,94,84,-10,-1.2807589292166
"4408943CE",97,76,89,13,-0.600687288511602
"4408944CE",112,73,103,30,-0.0980256410339994
"4408945CE",87,66,76,10,-0.689392285125297
"4408946CE",85,69,75,6,-0.807665613943557
"4408948CE",96,75,85,10,-0.689392285125297
"4408951CE",113,100,87,-13,-1.36946392583029
"4408952CE",124,91,100,9,-0.718960617329862
"4408954CE",99,72,91,19,-0.423277295284213
"4408955CE",140,89,125,36,0.07938435219339
"4408956CE",105,74,93,19,-0.423277295284213
"4408957CE",106,82,91,9,-0.718960617329862
"4408958CE",103,82,90,8,-0.748528949534427
"4408961CE",106,90,90,0,-0.985075607170946
"4408962CE",104,81,91,10,-0.689392285125297
"4408963CE",111,92,92,0,-0.985075607170946
"4408964CE",105,89,92,3,-0.896370610557251
"4408965CE",103,81,91,10,-0.689392285125297
"4408965SW",124,94,93,-1,-1.01464393937551
"4408966CE",92,73,83,10,-0.689392285125297
"4408967CE",128,98,113,15,-0.541550624102473
"4408968CE",173,94,169,75,1.23254930817142
"4408971CE",101,79,78,-1,-1.01464393937551
"4408972CE",98,83,77,-6,-1.16248560039834
"4408973CE",101,80,95,15,-0.541550624102473
"4408975CE",101,77,96,19,-0.423277295284213
"4408976CE",101,85,80,-5,-1.13291726819377
"4408977CE",104,87,94,7,-0.778097281738992
"4408981CE",113,96,87,-9,-1.25119059701203
"4408982CE",101,81,79,-2,-1.04421227158008
"4408983CE",95,73,89,16,-0.511982291897908
"4408984CE",99,87,87,0,-0.985075607170946
"4408985CE",90,71,83,12,-0.630255620716167
"4408986CE",135,77,123,46,0.375067674239039
"4408987CE",107,80,98,18,-0.452845627488778
"4408988CE",96,82,79,-3,-1.07378060378464
"4409011CE",113,88,90,2,-0.925938942761816
"4409012CE",165,113,160,47,0.404636006443604
"4409013CE",116,103,93,-10,-1.2807589292166
"4409014CE",118,104,102,-2,-1.04421227158008
"4409015CE",101,82,90,8,-0.748528949534427
"4409016CE",104,93,88,-5,-1.13291726819377
"4409017CE",101,80,89,9,-0.718960617329862
"4409018CE",98,81,78,-3,-1.07378060378464
"4409021CE",94,68,82,14,-0.571118956307038
"4409022CE",126,113,104,-9,-1.25119059701203
"4409023CE",101,84,92,8,-0.748528949534427
"4409024CE",124,102,95,-7,-1.1920539326029
"4409024NE",116,90,89,-1,-1.01464393937551
"4409025CE",112,92,99,7,-0.778097281738992
"4409025NW",112,94,89,-5,-1.13291726819377
"4409026CE",114,100,88,-12,-1.33989559362572
"4409027CE",80,56,67,11,-0.659823952920732
"4409028CE",99,73,90,17,-0.482413959693343
"4409031CE",114,85,104,19,-0.423277295284213
"4409032CE",140,94,120,26,-0.216298969852259
"4409034CE",131,107,111,4,-0.866802278352687
"4409035CE",113,87,99,12,-0.630255620716167
"4409035CW",117,103,103,0,-0.985075607170946
"4409036CE",105,85,92,7,-0.778097281738992
"4409037CE",104,80,94,14,-0.571118956307038
"4409037NE",132,116,113,-3,-1.07378060378464
"4409038CE",82,64,69,5,-0.837233946148122
"4409041CE",110,76,100,24,-0.275435634261389
"4409043CE",112,82,104,22,-0.334572298670519
"4409044CE",95,77,89,12,-0.630255620716167
"4409045CE",119,100,107,7,-0.778097281738992
"4409046CE",104,95,72,-23,-1.66514724787594
"4409047CE",105,91,92,1,-0.955507274966381
"4409048CE",87,61,72,11,-0.659823952920732
"4409054CE",93,82,88,6,-0.807665613943557
"4409055CE",91,71,74,3,-0.896370610557251
"4409056CE",115,80,111,31,-0.0684573088294345
"4409057CE",91,61,86,25,-0.245867302056824
"4409058CE",104,81,95,14,-0.571118956307038
"4409061CE",108,72,100,28,-0.157162305443129
"4409062CE",113,85,98,13,-0.600687288511602
"4409064CE",95,75,87,12,-0.630255620716167
"4409065CE",96,73,80,7,-0.778097281738992
"4409066CE",105,80,94,14,-0.571118956307038
"4409067CE",99,83,89,6,-0.807665613943557
"4409072CE",93,65,87,22,-0.334572298670519
"4409073CE",96,72,88,16,-0.511982291897908
"4409074CE",97,75,90,15,-0.541550624102473
"4409075CE",87,50,75,25,-0.245867302056824
"4409076CE",92,75,73,-2,-1.04421227158008
"4409077CE",103,75,96,21,-0.364140630875083
"4409078CE",96,77,84,7,-0.778097281738992
"4409081CE",75,60,64,4,-0.866802278352687
