"atlas_block","sr_total","sr_Atlas1","sr_Atlas2","sr_diff","sr_diff_z"
"4409082CE",86,77,68,-9,-1.25119059701203
"4409084CE",86,72,72,0,-0.985075607170946
"4409085CE",102,78,81,3,-0.896370610557251
"4409086CE",94,80,82,2,-0.925938942761816
"4409087CE",84,65,67,2,-0.925938942761816
"4409088CE",85,69,76,7,-0.778097281738992
"4409111CE",106,84,94,10,-0.689392285125297
"4409112CE",91,80,77,-3,-1.07378060378464
"4409113CE",102,84,94,10,-0.689392285125297
"4409114CE",83,70,76,6,-0.807665613943557
"4409115CE",164,109,157,48,0.434204338648169
"4409121CE",91,61,83,22,-0.334572298670519
"4409122CE",100,90,83,-7,-1.1920539326029
"4409123CE",80,66,67,1,-0.955507274966381
"4409125CE",92,74,80,6,-0.807665613943557
"4409126CE",96,86,74,-12,-1.33989559362572
"4409127CE",104,89,92,3,-0.896370610557251
"4409131CE",95,72,90,18,-0.452845627488778
"4409132CE",100,79,84,5,-0.837233946148122
"4409133CE",103,74,91,17,-0.482413959693343
"4409134CE",86,68,77,9,-0.718960617329862
"4409135CE",86,70,80,10,-0.689392285125297
"4409136CE",91,73,87,14,-0.571118956307038
"4409137CE",92,75,85,10,-0.689392285125297
"4409142CE",89,71,79,8,-0.748528949534427
"4409143CE",92,72,81,9,-0.718960617329862
"4409147CE",112,97,101,4,-0.866802278352687
"4409151CE",106,81,92,11,-0.659823952920732
"4409152CE",92,70,83,13,-0.600687288511602
"4409154CE",88,64,82,18,-0.452845627488778
"4409155CE",93,71,82,11,-0.659823952920732
"4409156CE",92,74,86,12,-0.630255620716167
"4409157CE",83,71,71,0,-0.985075607170946
"4409158CE",79,64,65,1,-0.955507274966381
"4409161CE",123,89,113,24,-0.275435634261389
"4409161NE",93,74,82,8,-0.748528949534427
"4409163CE",91,69,84,15,-0.541550624102473
"4409164CE",108,79,89,10,-0.689392285125297
"4409165CE",94,75,69,-6,-1.16248560039834
"4409166CE",121,103,109,6,-0.807665613943557
"4409167CE",108,89,91,2,-0.925938942761816
"4409168CE",106,73,96,23,-0.305003966465954
"4409171CE",103,80,88,8,-0.748528949534427
"4409172CE",108,82,97,15,-0.541550624102473
"4409173CE",121,95,108,13,-0.600687288511602
"4409175CE",131,77,123,46,0.375067674239039
"4409177CE",109,74,106,32,-0.0388889766248696
"4409178CE",97,73,89,16,-0.511982291897908
"4409181CE",89,70,82,12,-0.630255620716167
"4409182CE",90,71,77,6,-0.807665613943557
"4409186CE",87,71,66,-5,-1.13291726819377
"4409188CE",134,79,126,47,0.404636006443604
"4409241CE",102,80,82,2,-0.925938942761816
"4409241NW",119,98,107,9,-0.718960617329862
"4409241SE",101,76,86,10,-0.689392285125297
"4409251CE",127,86,122,36,0.07938435219339
"4409252CE",107,80,93,13,-0.600687288511602
"4409253CE",93,75,84,9,-0.718960617329862
"4409261CE",86,70,75,5,-0.837233946148122
"4409262CE",77,64,69,5,-0.837233946148122
"4409263CE",79,65,72,7,-0.778097281738992
"4409264CE",75,60,67,7,-0.778097281738992
"4409265CE",86,62,84,22,-0.334572298670519
"4409266CE",83,65,78,13,-0.600687288511602
"4409271CE",88,63,85,22,-0.334572298670519
"4409272CE",91,70,80,10,-0.689392285125297
"4409273CE",98,88,85,-3,-1.07378060378464
"4409274CE",86,66,77,11,-0.659823952920732
"4409275CE",104,97,83,-14,-1.39903225803485
"4409276CE",90,75,78,3,-0.896370610557251
"4409281CE",89,64,85,21,-0.364140630875083
"4409282CE",94,68,85,17,-0.482413959693343
"4409284CE",78,55,71,16,-0.511982291897908
"4409285CE",88,74,76,2,-0.925938942761816
"4508628NW",120,94,98,4,-0.866802278352687
"4508711CW",138,80,134,54,0.611614331875558
"4508713CE",126,74,110,36,0.07938435219339
"4508716CE",109,81,94,13,-0.600687288511602
"4508717CE",124,80,116,36,0.07938435219339
"4508738CE",107,85,86,1,-0.955507274966381
"4508748CE",106,85,83,-2,-1.04421227158008
"4508758CE",101,56,97,41,0.227226013216214
"4508768CE",102,84,85,1,-0.955507274966381
"4508814CE",106,94,91,-3,-1.07378060378464
"4508815CE",105,85,81,-4,-1.10334893598921
"4508816CE",96,74,86,12,-0.630255620716167
"4508817CE",98,81,79,-2,-1.04421227158008
"4508818CE",96,70,88,18,-0.452845627488778
"4508821CE",99,74,91,17,-0.482413959693343
"4508822CE",100,79,78,-1,-1.01464393937551
"4508824CE",102,79,88,9,-0.718960617329862
"4508825CE",107,100,82,-18,-1.51730558685311
"4508826CE",105,82,82,0,-0.985075607170946
"4508827CE",106,89,86,-3,-1.07378060378464
"4508828CE",122,89,108,19,-0.423277295284213
"4508832CE",97,78,85,7,-0.778097281738992
"4508833CE",103,83,89,6,-0.807665613943557
"4508834CE",103,79,90,11,-0.659823952920732
"4508835CE",107,90,98,8,-0.748528949534427
"4508836CE",124,95,91,-4,-1.10334893598921
"4508837CE",84,60,61,1,-0.955507274966381
"4508838CE",96,76,82,6,-0.807665613943557
"4508841CE",95,82,71,-11,-1.31032726142116
"4508842CE",98,75,86,11,-0.659823952920732
"4508843CE",87,78,73,-5,-1.13291726819377
"4508844CE",96,79,86,7,-0.778097281738992
"4508847CE",105,87,88,1,-0.955507274966381
"4508848CE",88,77,74,-3,-1.07378060378464
"4508851CE",123,90,113,23,-0.305003966465954
"4508852CE",108,82,95,13,-0.600687288511602
"4508858CE",117,77,107,30,-0.0980256410339994
"4508861CE",97,85,77,-8,-1.22162226480747
"4508862CE",106,83,89,6,-0.807665613943557
"4508863CE",108,95,93,-2,-1.04421227158008
"4508864CE",98,82,86,4,-0.866802278352687
"4508865CE",102,81,87,6,-0.807665613943557
"4508866CE",97,76,77,1,-0.955507274966381
"4508868CE",99,84,80,-4,-1.10334893598921
"4508872CE",110,83,102,19,-0.423277295284213
"4508875CE",85,58,73,15,-0.541550624102473
"4508877CE",90,69,79,10,-0.689392285125297
"4508881SW",91,62,81,19,-0.423277295284213
"4508882CE",99,73,92,19,-0.423277295284213
"4508883CE",134,112,112,0,-0.985075607170946
"4508884CE",106,81,93,12,-0.630255620716167
"4508885CE",87,60,80,20,-0.393708963079648
"4508887CE",88,78,70,-8,-1.22162226480747
"4508888CE",100,86,79,-7,-1.1920539326029
"4508911CE",110,92,92,0,-0.985075607170946
"4508912CE",106,92,83,-9,-1.25119059701203
"4508913CE",113,102,93,-9,-1.25119059701203
"4508914CE",106,98,86,-12,-1.33989559362572
"4508915CE",104,78,99,21,-0.364140630875083
"4508917CE",96,77,82,5,-0.837233946148122
"4508918CE",98,85,83,-2,-1.04421227158008
"4508921CE",85,69,74,5,-0.837233946148122
"4508922CE",88,67,75,8,-0.748528949534427
"4508923CE",123,90,104,14,-0.571118956307038
"4508924CE",90,71,80,9,-0.718960617329862
"4508926CE",102,71,94,23,-0.305003966465954
"4508927CE",100,83,85,2,-0.925938942761816
"4508928CE",93,76,75,-1,-1.01464393937551
"4508931CE",95,85,70,-15,-1.42860059023942
"4508932CE",106,86,88,2,-0.925938942761816
"4508933CE",96,75,87,12,-0.630255620716167
"4508934CE",104,88,93,5,-0.837233946148122
"4508935CE",107,80,99,19,-0.423277295284213
"4508936CE",115,84,108,24,-0.275435634261389
"4508937CE",99,77,87,10,-0.689392285125297
"4508938CE",94,71,86,15,-0.541550624102473
"4508941CE",111,95,91,-4,-1.10334893598921
"4508942CE",115,89,98,9,-0.718960617329862
"4508943CE",106,89,83,-6,-1.16248560039834
"4508944CE",103,83,88,5,-0.837233946148122
"4508945CE",92,65,86,21,-0.364140630875083
"4508946CE",114,85,99,14,-0.571118956307038
"4508947CE",119,88,108,20,-0.393708963079648
"4508948CE",111,80,101,21,-0.364140630875083
"4508951CE",108,93,93,0,-0.985075607170946
"4508952CE",103,86,86,0,-0.985075607170946
"4508953CE",105,85,81,-4,-1.10334893598921
"4508954CE",110,89,93,4,-0.866802278352687
"4508955CE",100,81,89,8,-0.748528949534427
"4508956CE",103,87,82,-5,-1.13291726819377
"4508957CE",113,105,87,-18,-1.51730558685311
"4508958CE",105,91,81,-10,-1.2807589292166
"4508961CE",109,95,79,-16,-1.45816892244398
"4508962CE",114,98,88,-10,-1.2807589292166
"4508963CE",115,96,92,-4,-1.10334893598921
"4508964CE",120,99,99,0,-0.985075607170946
"4508965CE",112,92,97,5,-0.837233946148122
"4508966CE",119,85,103,18,-0.452845627488778
"4508967CE",110,101,85,-16,-1.45816892244398
"4508968CE",103,89,89,0,-0.985075607170946
"4508971CE",107,91,94,3,-0.896370610557251
"4508972CE",112,90,101,11,-0.659823952920732
"4508972CW",136,107,115,8,-0.748528949534427
"4508973CE",112,99,92,-7,-1.1920539326029
"4508974CE",109,95,85,-10,-1.2807589292166
"4508975CE",100,81,90,9,-0.718960617329862
"4508976CE",108,82,97,15,-0.541550624102473
"4508977CE",114,99,99,0,-0.985075607170946
"4508978CE",103,91,79,-12,-1.33989559362572
"4508981CE",105,100,74,-26,-1.75385224448963
"4508982CE",121,96,98,2,-0.925938942761816
"4508983CE",139,135,112,-23,-1.66514724787594
"4508984CE",113,105,85,-20,-1.57644225126224
"4508985CE",101,94,75,-19,-1.54687391905768
"4508986CE",112,94,90,-4,-1.10334893598921
"4508987CE",93,76,72,-4,-1.10334893598921
"4508988CE",108,92,80,-12,-1.33989559362572
"4509011CE",91,67,80,13,-0.600687288511602
"4509012CE",92,76,85,9,-0.718960617329862
"4509013CE",97,68,90,22,-0.334572298670519
"4509014CE",97,67,90,23,-0.305003966465954
"4509016CE",110,88,95,7,-0.778097281738992
"4509017CE",96,73,91,18,-0.452845627488778
"4509021CE",87,56,76,20,-0.393708963079648
"4509022CE",98,79,88,9,-0.718960617329862
"4509023CE",107,80,95,15,-0.541550624102473
"4509024CE",103,87,86,-1,-1.01464393937551
"4509025CE",96,75,83,8,-0.748528949534427
"4509026CE",96,62,84,22,-0.334572298670519
"4509027CE",107,87,94,7,-0.778097281738992
"4509028CE",86,76,72,-4,-1.10334893598921
"4509031CE",83,67,77,10,-0.689392285125297
"4509033CE",102,77,92,15,-0.541550624102473
"4509034CE",95,77,84,7,-0.778097281738992
"4509035CE",85,68,74,6,-0.807665613943557
"4509036CE",90,78,70,-8,-1.22162226480747
"4509037CE",106,85,94,9,-0.718960617329862
"4509038CE",110,78,101,23,-0.305003966465954
"4509042CE",98,70,86,16,-0.511982291897908
"4509044CE",96,72,91,19,-0.423277295284213
"4509045CE",92,63,82,19,-0.423277295284213
"4509046CE",91,77,81,4,-0.866802278352687
"4509047CE",104,93,87,-6,-1.16248560039834
"4509048CE",106,79,96,17,-0.482413959693343
"4509051CE",107,87,88,1,-0.955507274966381
"4509052CE",92,69,84,15,-0.541550624102473
"4509054CE",87,66,80,14,-0.571118956307038
"4509055CE",89,68,86,18,-0.452845627488778
"4509057CE",96,79,86,7,-0.778097281738992
"4509058CE",111,83,95,12,-0.630255620716167
"4509061CE",81,61,69,8,-0.748528949534427
"4509062CE",99,73,86,13,-0.600687288511602
"4509063CE",119,97,102,5,-0.837233946148122
"4509064CE",115,100,99,-1,-1.01464393937551
"4509065CE",117,104,97,-7,-1.1920539326029
"4509066CE",101,84,82,-2,-1.04421227158008
"4509067CE",88,72,76,4,-0.866802278352687
"4509071CE",86,75,66,-9,-1.25119059701203
"4509072CE",102,84,88,4,-0.866802278352687
"4509072NE",108,90,91,1,-0.955507274966381
"4509073CE",97,75,82,7,-0.778097281738992
"4509074CE",109,93,89,-4,-1.10334893598921
"4509075CE",114,98,93,-5,-1.13291726819377
"4509076CE",110,89,99,10,-0.689392285125297
"4509077CE",92,69,77,8,-0.748528949534427
"4509078CE",112,84,85,1,-0.955507274966381
"4509081CE",99,87,85,-2,-1.04421227158008
"4509082CE",114,92,100,8,-0.748528949534427
"4509083CE",107,90,91,1,-0.955507274966381
"4509084CE",111,94,89,-5,-1.13291726819377
"4509085CE",126,99,108,9,-0.718960617329862
"4509086CE",107,97,81,-16,-1.45816892244398
"4509087CE",95,85,69,-16,-1.45816892244398
"4509088CE",127,119,91,-28,-1.81298890889876
"4509111CE",87,69,76,7,-0.778097281738992
"4509112CE",86,72,64,-8,-1.22162226480747
"4509113CE",105,76,98,22,-0.334572298670519
"4509114CE",88,66,80,14,-0.571118956307038
"4509115CE",89,66,74,8,-0.748528949534427
"4509121CE",77,67,60,-7,-1.1920539326029
"4509122CE",99,83,85,2,-0.925938942761816
"4509123CE",96,79,81,2,-0.925938942761816
"4509124CE",114,95,98,3,-0.896370610557251
"4509125CE",86,70,75,5,-0.837233946148122
"4509126CE",89,72,74,2,-0.925938942761816
"4509127CE",84,64,73,9,-0.718960617329862
"4509128CE",97,70,90,20,-0.393708963079648
"4509132CE",108,84,94,10,-0.689392285125297
"4509133CE",107,86,95,9,-0.718960617329862
"4509134CE",103,82,91,9,-0.718960617329862
"4509135CE",111,82,101,19,-0.423277295284213
"4509137CE",93,69,83,14,-0.571118956307038
"4509141CE",103,74,97,23,-0.305003966465954
"4509142CE",119,102,102,0,-0.985075607170946
"4509143CE",105,92,86,-6,-1.16248560039834
"4509144NW",91,67,85,18,-0.452845627488778
"4509145CE",117,80,111,31,-0.0684573088294345
"4509147CE",106,81,94,13,-0.600687288511602
"4509148CE",113,88,99,11,-0.659823952920732
"4509151CE",109,95,86,-9,-1.25119059701203
"4509152CE",100,83,89,6,-0.807665613943557
"4509153CE",119,98,92,-6,-1.16248560039834
"4509154CE",92,80,80,0,-0.985075607170946
"4509158CE",116,92,104,12,-0.630255620716167
"4509161CE",83,61,79,18,-0.452845627488778
"4509163CE",104,76,96,20,-0.393708963079648
"4509164CE",96,71,82,11,-0.659823952920732
"4509165CE",122,101,97,-4,-1.10334893598921
"4509166CE",105,76,93,17,-0.482413959693343
"4509168CE",83,64,75,11,-0.659823952920732
"4509171CE",120,96,92,-4,-1.10334893598921
"4509172CE",105,89,90,1,-0.955507274966381
"4509174CE",104,90,93,3,-0.896370610557251
"4509177CE",102,82,89,7,-0.778097281738992
"4509178CE",112,93,94,1,-0.955507274966381
"4509181CE",116,102,89,-13,-1.36946392583029
"4509183CE",91,71,82,11,-0.659823952920732
"4509184CE",86,68,73,5,-0.837233946148122
"4509185CE",113,93,100,7,-0.778097281738992
"4509186CE",98,76,83,7,-0.778097281738992
"4509187CE",93,73,81,8,-0.748528949534427
"4509188CE",105,69,93,24,-0.275435634261389
"4509212CE",107,87,97,10,-0.689392285125297
"4509213CE",85,61,80,19,-0.423277295284213
"4509214CE",113,80,98,18,-0.452845627488778
"4509215CE",99,74,93,19,-0.423277295284213
"4509217CE",97,73,89,16,-0.511982291897908
"4509221CE",93,72,85,13,-0.600687288511602
"4509222CE",87,68,82,14,-0.571118956307038
"4509223CE",110,79,101,22,-0.334572298670519
"4509224CE",102,77,89,12,-0.630255620716167
"4509226CE",120,92,107,15,-0.541550624102473
"4509233CE",106,71,103,32,-0.0388889766248696
"4509236CE",105,85,90,5,-0.837233946148122
"4509241CE",101,79,93,14,-0.571118956307038
"4509242CE",101,75,95,20,-0.393708963079648
"4509243CE",112,81,103,22,-0.334572298670519
"4509244CE",122,77,110,33,-0.0093206444203047
"4509251CE",104,87,89,2,-0.925938942761816
"4509255CE",88,67,73,6,-0.807665613943557
"4509261CE",93,71,85,14,-0.571118956307038
"4509265CE",112,78,104,26,-0.216298969852259
"4509267CE",117,92,105,13,-0.600687288511602
"4509267NE",130,116,114,-2,-1.04421227158008
"4509273CE",107,88,87,-1,-1.01464393937551
"4509274CE",120,95,99,4,-0.866802278352687
"4509275CE",101,78,93,15,-0.541550624102473
"4509281CE",98,79,76,-3,-1.07378060378464
"4509282CE",90,66,64,-2,-1.04421227158008
"4509283CE",87,72,72,0,-0.985075607170946
"4509284CE",112,93,96,3,-0.896370610557251
"4509285CE",122,97,105,8,-0.748528949534427
"4509286SE",146,98,141,43,0.286362677625344
"4608818CE",85,60,77,17,-0.482413959693343
"4608911CE",124,100,108,8,-0.748528949534427
"4608912CE",104,91,79,-12,-1.33989559362572
"4608913CE",127,117,106,-11,-1.31032726142116
"4608914CE",107,88,89,1,-0.955507274966381
"4608915CE",104,96,82,-14,-1.39903225803485
"4608916CE",103,86,88,2,-0.925938942761816
"4608917CE",106,87,86,-1,-1.01464393937551
"4608918CE",136,94,120,26,-0.216298969852259
"4608925CE",107,89,91,2,-0.925938942761816
"4608926CE",89,75,78,3,-0.896370610557251
"4608927CE",105,80,89,9,-0.718960617329862
"4608928CE",103,83,86,3,-0.896370610557251
"4609011CE",115,83,94,11,-0.659823952920732
"4609011CW",109,88,85,-3,-1.07378060378464
"4609012CE",100,79,84,5,-0.837233946148122
"4609013CE",105,93,75,-18,-1.51730558685311
"4609014CE",118,89,106,17,-0.482413959693343
"4609015CE",115,89,101,12,-0.630255620716167
"4609016CE",100,78,90,12,-0.630255620716167
"4609017CE",90,58,75,17,-0.482413959693343
"4609018CE",93,78,80,2,-0.925938942761816
"4609021CE",99,79,73,-6,-1.16248560039834
"4609022CE",97,79,72,-7,-1.1920539326029
"4609023CE",87,73,72,-1,-1.01464393937551
"4609024CE",92,73,81,8,-0.748528949534427
"4609025CE",99,84,84,0,-0.985075607170946
"4609026CE",95,80,77,-3,-1.07378060378464
"4609027CE",101,75,83,8,-0.748528949534427
"4609028CE",112,79,103,24,-0.275435634261389
"4609031CE",88,71,79,8,-0.748528949534427
"4609033CE",88,78,74,-4,-1.10334893598921
"4609035CE",89,74,81,7,-0.778097281738992
"4609036CE",100,87,81,-6,-1.16248560039834
"4609037CE",101,74,91,17,-0.482413959693343
"4609038CE",113,85,87,2,-0.925938942761816
"4609043CE",93,66,84,18,-0.452845627488778
"4609044CE",91,78,78,0,-0.985075607170946
"4609046CE",89,80,74,-6,-1.16248560039834
"4609047CE",95,69,85,16,-0.511982291897908
"4609048CE",104,81,93,12,-0.630255620716167
"4609055CE",91,76,71,-5,-1.13291726819377
"4609056CE",98,87,82,-5,-1.13291726819377
"4609057CE",110,88,93,5,-0.837233946148122
"4609058CE",169,104,162,58,0.729887660693818
"4609068CE",134,88,122,34,0.0202476877842602
"4609085CE",89,65,75,10,-0.689392285125297
"4609088CE",128,84,116,32,-0.0388889766248696
"4609111CE",100,78,86,8,-0.748528949534427
"4609112CE",115,99,93,-6,-1.16248560039834
"4609113CE",103,93,81,-12,-1.33989559362572
"4609114CE",107,97,88,-9,-1.25119059701203
"4609115CE",118,101,93,-8,-1.22162226480747
"4609117CE",78,60,67,7,-0.778097281738992
"4609121CE",108,79,101,22,-0.334572298670519
"4609122CE",112,86,99,13,-0.600687288511602
"4609123CE",101,86,84,-2,-1.04421227158008
"4609124CE",123,93,112,19,-0.423277295284213
"4609126CE",104,83,90,7,-0.778097281738992
"4609127CE",117,96,100,4,-0.866802278352687
"4609131CE",103,80,89,9,-0.718960617329862
"4609132CE",103,70,94,24,-0.275435634261389
"4609133CE",96,82,77,-5,-1.13291726819377
"4609134CE",102,87,81,-6,-1.16248560039834
"4609135CE",106,85,92,7,-0.778097281738992
"4609138CE",109,86,99,13,-0.600687288511602
"4609141CE",95,77,82,5,-0.837233946148122
"4609142CE",116,87,109,22,-0.334572298670519
"4609143CE",99,76,86,10,-0.689392285125297
"4609144CE",91,69,74,5,-0.837233946148122
"4609145CE",98,75,81,6,-0.807665613943557
"4609146CE",116,101,108,7,-0.778097281738992
"4609147CE",111,94,100,6,-0.807665613943557
"4609148CE",115,105,97,-8,-1.22162226480747
"4609151CE",108,85,96,11,-0.659823952920732
"4609152CE",88,73,80,7,-0.778097281738992
"4609152NW",112,81,104,23,-0.305003966465954
"4609153CE",89,71,78,7,-0.778097281738992
"4609153NE",115,93,99,6,-0.807665613943557
"4609154CE",115,95,102,7,-0.778097281738992
"4609156CE",109,95,96,1,-0.955507274966381
"4609158CE",112,86,107,21,-0.364140630875083
"4609162CE",94,84,77,-7,-1.1920539326029
"4609163CE",83,62,75,13,-0.600687288511602
"4609164CE",103,76,96,20,-0.393708963079648
"4609165CE",97,79,87,8,-0.748528949534427
"4609166CE",128,105,115,10,-0.689392285125297
"4609167CE",115,93,98,5,-0.837233946148122
"4609171CE",115,85,105,20,-0.393708963079648
"4609172CE",108,78,93,15,-0.541550624102473
"4609172NE",119,107,85,-22,-1.63557891567137
"4609173CE",115,97,100,3,-0.896370610557251
"4609213CE",104,81,89,8,-0.748528949534427
"4609221CE",105,85,86,1,-0.955507274966381
"4609222CE",112,99,99,0,-0.985075607170946
"4609232CE",83,59,75,16,-0.511982291897908
"4609241CE",101,80,82,2,-0.925938942761816
"4609242CE",111,88,103,15,-0.541550624102473
"4609251CE",95,76,90,14,-0.571118956307038
"4609252CE",110,91,101,10,-0.689392285125297
"4609253CE",116,72,103,31,-0.0684573088294345
"4609262CE",131,107,110,3,-0.896370610557251
"4609262SE",109,90,90,0,-0.985075607170946
"4709014CE",76,59,56,-3,-1.07378060378464
